Académie1,Académie2,Nom,long1,lat1,long2,lat2
Toulouse,Versailles,33,33,33,33,33
Versailles,Aix-Marseille,34,34,34,34,34
Versailles,Amiens,15,15,15,15,15
Versailles,Besançon,6,6,6,6,6
Versailles,Bordeaux,27,27,27,27,27
Versailles,Caen,6,6,6,6,6
Versailles,Clermont-Ferrand,16,16,16,16,16
Versailles,Créteil,46,46,46,46,46
Versailles,Dijon,7,7,7,7,7
Versailles,Grenoble,8,8,8,8,8
Versailles,Lille,32,32,32,32,32
Versailles,Limoges,7,7,7,7,7
Versailles,Lyon,31,31,31,31,31
Versailles,Montpellier,46,46,46,46,46
Versailles,Nancy-Metz,24,24,24,24,24
Versailles,Nantes,26,26,26,26,26
Versailles,Nice,18,18,18,18,18
Versailles,Orléans-Tours,18,18,18,18,18
Versailles,Paris,195,195,195,195,195
Versailles,Poitiers,5,5,5,5,5
Versailles,Reims,1,1,1,1,1
Versailles,Rennes,20,20,20,20,20
Versailles,Rouen,11,11,11,11,11
Versailles,Strasbourg,36,36,36,36,36
Versailles,Toulouse,34,34,34,34,34
Versailles,Versailles,392,392,392,392,392
