"Nom","Universite1","Universite2","Annee1","Annee2"
"PHILIPPE LACOUR","Lyon 1","Nice",1990,1992
"Philippe Lafon","Ecole nationale des ponts et chaussees (France)","Universite Paris-Saclay (ComUE)",1991,2018
"Philippe Lagrange","Poitiers","Nancy 1",1999,1998
"Philippe Lalitte","Paris 4","Sorbonne universite",2003,2019
"Philippe Lamarre","Toulouse 3","Nantes",1992,2014
"Philippe Lamy","Paris 8","Aix-Marseille 1",2016,2011
"Philippe Lang","Lyon 1","Paris 7",1992,2012
"Philippe Langella","Rennes 1","Paris 11",1988,2013
"Philippe Langlois","Angers","Paris 10",1993,1995
"Philippe Lanos","Rennes 1","Rennes, INSA",1987,2003
"Philippe Lashermes","Clermont-Ferrand 2","Montpellier 2",1987,2002
"Philippe Laurent","Nantes","Paris 1",1998,2001
"PHILIPPE LAURENT","Nantes","Rennes 1",1992,1994
"Philippe Lauret","Dijon","Rouen",1992,1991
"Philippe Lavalle","Universite Louis Pasteur (Strasbourg)","Nancy 1",1998,2006
"Philippe Le Gall","Paris 1","Angers",1994,2006
"Philippe Lechat","Paris 6","Paris 7",1987,1998
"Philippe Lefebvre","Toulouse 3","Nancy 2",1996,1997
"Philippe Legrand","Bordeaux 3","Montpellier, Ecole nationale superieure de chimie",1998,2011
"PHILIPPE LEGRAND","Nancy 1","Nice",1989,1989
"Philippe Lemistre","Toulouse 1","Toulouse 2",2000,2017
"Philippe Levy","Universite Louis Pasteur (Strasbourg)","Paris 13",1990,1999
"Philippe Liotard","Lyon 1","Lyon",1997,2017
"Philippe Loiseau","Orleans","Toulouse 3",1987,1995
"Philippe Lorentz","Dijon","Strasbourg",1997,2010
"Philippe Louguet","Bordeaux 2","Universite Paris-Est Creteil Val de Marne (UPEC)",1997,1994
"Philippe Luppi","Aix-Marseille 3","Poitiers",1999,2013
"Philippe Maitre","Paris 8","Paris 11",2006,2006
"Philippe Mandin","Poitiers","Lorient",1997,2014
"Philippe Marchetti","Paris 6","Lille 2",1998,2008
"Philippe Marin","Vandoeuvre-les-Nancy, INPL","Montpellier 1",2010,2008
"Philippe Marsal","Aix-Marseille 1","Aix-Marseille",2002,2017
"Philippe Martel","Paris 1","Montpellier 3",1993,2009
"Philippe Martin","Lyon 1","Lille 1",1999,2004
"Philippe Martins Goncalves","Paris, ENST","Universite Paris-Saclay (ComUE)",2000,2019
"Philippe Marty","Paris 11","Montpellier 3",2003,2012
"Philippe Marullo","Bordeaux 2","Bordeaux",2005,2017
"Philippe Masson","Compiegne","Paris 7",1988,1992
"Philippe Mathis","Rennes 1","Tours",1992,1992
"Philippe Meral","Paris 1","Montpellier",1997,2016
"Philippe Mercier","Dijon","Angers",1998,1994
"Philippe Merle","Lille 1","Paris 2",1997,1999
"Philippe Merle","Lyon 1","Paris 2",2001,1999
"Philippe Meunier","Bordeaux 3","Dijon",1995,1996
"Philippe Meyer","Strasbourg","Paris 11",2019,2009
"Philippe Michaud","Lyon, INSA","Toulouse 3",1986,1994
"Philippe Michel","Lyon 1","Paris 1",1991,1991
"Philippe Michel","Paris 11","Paris 1",1995,1995
"Philippe Michel","Paris 11","Aix-Marseille 2",1995,1995
"Philippe Michel","Bordeaux 2","Paris 1",1991,1991
"Philippe Michelon","Clermont-Ferrand 2","Avignon",1989,2002
"Philippe Minard","Paris 1","Paris 11",1994,1998
"Philippe Mioche","Paris 4","Aix-Marseille 1",1992,2004
"Philippe Moati","Paris 1","Paris 7",1990,2000
"Philippe Monneret","Paris 4","Dijon",1996,2014
"PHILIPPE MONTANE DE LA ROQUE","Limoges","Bordeaux 2",1988,1998
"Philippe Morard","Tours","Toulouse, INPT",1989,1989
"Philippe Moreau","Paris 4","Caen",1999,2006
"Philippe Morel","Paris 5","Lille 2",1992,1992
"Philippe Morin","Nancy 1","Orleans",1994,2000
"Philippe Moulin","Paris, ENMP","Lyon, INSA",2010,2009
"Philippe Namour","Lyon 1","Lyon",1999,2018
"Philippe Nelidoff","Toulouse 1","Lille 2",1990,2001
"Philippe Nivet","Paris 1","Amiens",1992,2011
"Philippe Olivier","Montpellier 1","Aix-Marseille 2",1993,1989
"Philippe Owezarski","Toulouse 3","Toulouse, INSA",1996,2014
"Philippe Papet","Paris 4","Montpellier 2",1993,2001
"Philippe Pelletier","Saint-Etienne","Lyon 2",1990,2007
"Philippe Perrin","Nancy 1","Universite de Lorraine",1994,2013
"Philippe Petitjeans","Paris 6","Paris 7",1992,2005
"Philippe Pierre","Paris, Institut d'etudes politiques","Aix-Marseille 2",2000,2003
"Philippe Pilvin","Paris 6","ENSMP",1990,1999
"Philippe Plagnieux","Paris 4","Besancon",1991,2007
"Philippe Pochart","Paris 11","Paris, CNAM",1990,2005
"Philippe Poignet","Paris 3","Montpellier 2",2002,2010
"Philippe Portier","Rennes 1","Paris Sciences et Lettres",1990,2017
"Philippe Prevost","Paris 4","Tours",1994,2017
"Philippe Racinet","Paris 4","Amiens",1993,2003
"Philippe Ravaud","Nancy 1","Paris 6",1996,2006
"Philippe Remy","Paris 6","Poitiers",1997,2000
"Philippe Revel","Bordeaux 2","Compiegne",1990,2002
"Philippe Richard","Orleans","Lille 2",1986,1988
"Philippe Robert","Aix-Marseille 2","Paris 6",2009,2009
"Philippe Robert","Paris 5","Nice",1994,1994
"Philippe Robin","Lyon 1","Paris 11",1992,2012
"Philippe Roche","Toulouse 3","Montpellier 2",1992,2003
"Philippe Roche","Lyon 1","Montpellier 2",1992,2003
"Philippe Roger","Poitiers","Paris 11",2001,2004
"Philippe Rougier","Lyon 1","Versailles-St Quentin en Yvelines",1988,2010
"Philippe Rousseau","Paris 6","Lille 3",2004,2005
"Philippe Rouyer","Paris 3","Bordeaux 3",1999,1999
"Philippe Rouyer","Paris 1","Bordeaux 3",1997,1997
"Philippe Roy","Paris 8","Limoges",2014,2007
"Philippe Ryckewaert","Toulouse 3","Lille 2",1998,1993
"Philippe Sarremejane","Paris 5","Paris Est",1998,2011
"Philippe Schmitt","Vandoeuvre-les-Nancy, INPL","Avignon",1996,2001
"Philippe Segur","Toulouse 1","Perpignan",1993,1998
"Philippe Seksik","Paris 11","Paris 6",2004,2013
"Philippe Serp","Toulouse 3","Toulouse, INPT",1994,2005
"Philippe Signoret","Besancon","Montpellier 2",2011,2005
"Philippe Signoret","Besancon","Montpellier",2011,2017
"Philippe Simon","Nancy 1","Bordeaux 2",1990,1998
"Philippe Stoffel-Munck","Aix-Marseille 3","Paris 1",1999,2006
"Philippe Tamagny","Ecole nationale des ponts et chaussees (France)","Ecole centrale de Nantes",1996,2012
"Philippe Tancelin","Paris 1","Paris 8",1987,1999
"Philippe Terral","Paris 4","Toulouse 3",2003,2014
"Philippe Thierry","Paris 7","Paris, ENMP",1997,2005
"Philippe Thomas","Nancy 1","Limoges",1999,2009
"Philippe Vaillant","Nancy 2","Lille 2",2008,1993
"Philippe Vanhems","Nancy 1","Lyon 1",1998,2005
"Philippe Vergne","Lyon 1","Lyon, INSA",1988,2005
"Philippe Very","Aix-Marseille 3","Nice",1989,2010
"Philippe Viallon","Metz","Strasbourg",1990,2013
"Philippe Vidal","Paris 9","Toulouse 3",1992,2008
"Philippe Walter","Universite Louis Pasteur (Strasbourg)","Universite Stendhal (Grenoble)",1993,2003
"Philippe Warin","Universite Pierre Mendes France (Grenoble)","Grenoble 2",1992,2004
"Philippe Weber","Paris 11","Montpellier 2",2003,2002
"Philippe Weckel","Strasbourg 3","Nice",1989,1999
"Philippe Zinck","Lyon, INSA","Lille 1",1999,2017
"Philippe-Herve Leloup","Paris 6","Lyon 1",1991,2007
"Phuong Mai Dinh","Palaiseau, Ecole polytechnique","Toulouse 3",2002,2011
"Pia Muller-Imbs","Paris 1","Strasbourg 3",1986,2003
"Pierre Allain","Paris 11","Nantes",2012,1990
"Pierre Allain","Lorient","Nantes",2012,1990
"Pierre Andre","Clermont-Ferrand 1","Besancon",1992,1992
"Pierre Anglade","Perpignan","Angers",2006,1988
"Pierre Argoul","Marne-la-vallee, ENPC","Ecole nationale des ponts et chaussees (France)",1990,2008
"Pierre Arsac","Montpellier 1","Universite Pierre Mendes France (Grenoble)",1992,1995
"Pierre Barral","Limoges","Nancy 2",1997,1987
"Pierre Barret","Clermont-Ferrand 2","Dijon",2007,1992
"Pierre Barthelemy","Saint-Etienne","Aix-Marseille 2",1994,1994
"Pierre Bastide","Montpellier 1","Clermont-Ferrand 1",1992,1991
"Pierre Bastide","Montpellier 1","Clermont-Ferrand 1",1992,1993
"Pierre Baumann","Caen","Strasbourg",1992,2017
"Pierre Bayard","Nice","Paris 8",2001,1999
"Pierre Bayard","Nice","Paris 8",2001,2003
"Pierre Beauseroy","Compiegne","Troyes",1992,1999
"Pierre Becker","Lyon","Chatenay-Malabry, Ecole centrale de Paris",2017,2001
"Pierre Behar","Paris 4","Tours",1985,1995
"Pierre Benoist","Nice","Paris 11",1988,1985
"Pierre Benoit","Paris 4","Universite Paris-Saclay (ComUE)",2002,2016
"Pierre Bernard","Bordeaux 2","Clermont-Ferrand 2",1994,1997
"Pierre Berthelot","Paris 4","Rennes 1",2006,2000
"Pierre Bertrand","Paris 6","Paris 11",1989,1989
"Pierre Bertrand","Paris 6","Angers",1989,1989
"Pierre Bidart","Paris 10","Bordeaux 2",1998,2010
"Pierre Blanc","Paris 8","Universite Savoie Mont Blanc",1999,2000
"PIERRE BLANCHARD","Limoges","Nantes",1991,1994
"Pierre Blazevic","Paris 6","Versailles-St Quentin en Yvelines",1991,2006
"Pierre Blazy","Toulouse 3","Vandoeuvre-les-Nancy, INPL",1991,1994
"Pierre Bonnet","Toulouse 1","Tours",1992,2000
"Pierre Boulanger","Paris 5","Lyon 1",2009,2008
"Pierre Boutry","Strasbourg","Paris 6",2018,1993
"Pierre Bouvier","Paris 5","Paris 10",1987,2003
"Pierre Braun","Paris 1","Limoges",1992,1991
"Pierre Bret","Bordeaux 2","Lyon 1",1994,1988
"Pierre Breton","Paris 11","Lyon 1",1998,1994
"Pierre Breul","Clermont-Ferrand 2","Clermont Auvergne",1999,2018
"Pierre Briole","Paris 6","Institut de physique du globe (Paris)",1990,2003
"Pierre Broue","Toulouse 3","Universite Pierre Mendes France (Grenoble)",1991,1991
"Pierre Brule","Besancon","Rennes 2",1985,2007
"Pierre Brunet","Paris 10","Caen",1997,1990
"Pierre Buffet","Paris 7","Paris 6",2000,2015
"Pierre Burbaud","Bordeaux 2","Bordeaux",1993,2018
"Pierre Cadiot","Paris 8","Orleans",1988,2007
"Pierre Cahuc","Paris 1","Palaiseau, Ecole polytechnique",1989,2012
"Pierre Calmon","Paris 11","Universite Paris-Saclay (ComUE)",1990,2018
"Pierre Carayon","Montpellier 1","Besancon",1989,1990
"Pierre Carayon","Montpellier 1","Besancon",1989,1988
"Pierre Cartigny","Lyon 1","Paris 7",1985,2010
"Pierre Cassier","Lyon 1","Paris 6",2015,1990
"Pierre Cattan","Paris 11","Paris 7",2003,2014
"Pierre Caye","Paris 4","Paris Sciences et Lettres",1991,2018
"Pierre Chambon","Clermont-Ferrand 1","Strasbourg 1",1989,1989
"Pierre Chaminade","Paris 11","Universite Paris-Saclay (ComUE)",1992,2018
"Pierre Chiron","Paris 4","Paris 12",1990,2003
"Pierre Chollet","Paris 9","Aix-Marseille 3",1993,2011
"Pierre Clement","Lyon 1","Paris 8",2002,2002
"Pierre Collomb","Nice","Bordeaux 3",1986,1988
"Pierre Cordier","Paris 6","Toulouse 2",2009,2007
"Pierre Cotte","Universite Stendhal (Grenoble)","Paris 4",1989,1995
"Pierre Damay","Rouen, INSA","Lille 1",2010,2004
"Pierre Del Moral","Toulouse 3","Bordeaux 1",1994,2012
"Pierre Delage","Paris 3","Ecole nationale des ponts et chaussees (France)",1985,1997
"Pierre Delmas","Clermont-Ferrand 2","Caen",2011,1991
"Pierre Delmas","Clermont-Ferrand 2","Lyon 1",2011,1991
"Pierre Demeulenaere","Paris 4","Sorbonne universite",1994,2018
"Pierre Diemunsch","Strasbourg 1","Strasbourg",2003,2010
"Pierre Donadieu","Paris 7","Paris 1",1993,2003
"Pierre Drossart","Paris 11","Paris 6",1985,1997
"Pierre Druilhet","Toulouse 3","Clermont-Ferrand 2",1995,2015
"Pierre Dubois","Paris 4","Paris 10",1996,1997
"Pierre Duhaut","Lyon 1","Amiens",1989,2012
"Pierre Dumas","Nantes","Lyon 1",1985,1988
"Pierre Dupont","Paris, ENST","Lyon 2",1996,2000
"Pierre Dussauge","Paris 9","Universite Paris-Saclay (ComUE)",1992,2017
"Pierre Escude","Montpellier 3","Bordeaux",2000,2016
"PIERRE ESPINASSE","Aix-Marseille 2","Lyon 1",1988,1992
"Pierre Faivre","Nancy 1","Chambery",1988,2000
"Pierre Faure","Vandoeuvre-les-Nancy, INPL","Paris 5",1999,1998
"Pierre Fayet","Ecully, Ecole centrale de Lyon","Paris 6",2008,1987
"Pierre Ferrant","Nantes","Ecole centrale de Nantes",1988,2010
"Pierre Fournier","Tours","Aix-Marseille",2011,2017
"Pierre Francois","Lyon","Paris, Institut d'etudes politiques",2016,2016
"Pierre Frankhauser","Paris 1","Besancon",1993,2000
"Pierre Frantz","Paris 3","Paris 10",1994,2001
"Pierre Gaucher","Tours","Nancy 1",2001,1994
"Pierre Genevaux","Metz","Toulouse 3",1998,2012
"Pierre Genthon","Paris 11","Montpellier 2",1985,2010
"Pierre Germain","Paris 6","Vandoeuvre-les-Nancy, INPL",1997,1996
"Pierre Gille","Montpellier 1","Nancy 2",1991,1999
"Pierre Gillet","Strasbourg","Universite de Lorraine",2018,2012
"Pierre Glaudes","Toulouse 2","Universite Stendhal (Grenoble)",1986,1991
"Pierre Godement","Paris 6","Paris 11",1990,1998
"Pierre Gonneau","Paris 1","Paris 4",1989,2009
"Pierre Granier","Tours","Aix-Marseille 2",2002,2002
"Pierre Gresser","Dijon","Besancon",1994,2011
"Pierre Guenancia","Paris 4","Dijon",1997,2008
"Pierre Guerin","Paris 6","Lyon 1",2007,2012
"Pierre Guichard","Bordeaux 2","Lyon 2",1988,1994
"Pierre Guillon","Rennes 1","Limoges",2000,1998
"Pierre Guillot","Bordeaux 1","Paris 4",2006,2004
"Pierre Henry","Paris 6","Aix-Marseille",1991,2018
"PIERRE HUMBERT","Universite Louis Pasteur (Strasbourg)","Ecole nationale des ponts et chaussees (France)",1987,1998
"Pierre Jacob","Toulouse, INPT","Lille 1",1986,1985
"Pierre Joly","Clermont-Ferrand 2","Bordeaux 2",2014,2013
"Pierre Kopp","Paris 13","Paris 1",1988,2001
"Pierre L. Roubertoux","Paris 5","Paris 6",1985,1990
"Pierre Labastie","Lyon 1","Toulouse 3",1987,1995
"Pierre Labbe","Lille 2","Paris 7",1993,1988
"Pierre Laborde","Toulouse 3","Aix-Marseille 2",1988,1987
"Pierre Larcher","Paris 3","Aix-Marseille 1",1996,2000
"Pierre Lassegue","Toulouse, INPT","Paris 1",2016,1997
"Pierre Le Coz","Aix-Marseille 2","Aix-Marseille",2003,2012
"Pierre Le Masne","Poitiers","Universite de Marne-la-Vallee",1988,2007
"Pierre Leblond","Lille 2","Nancy 1",2013,2010
"Pierre Leconte","Clermont-Ferrand 2","Lille 3",2006,2000
"Pierre Lemaire","Paris 5","Lille 2",1997,1990
"Pierre Leriche","Besancon","Paris 1",1998,2007
"Pierre Leveque","Lyon 1","Besancon",1989,1990
"Pierre Leveque","Lyon 1","Besancon",1989,1988
"Pierre Litzler","Universite Marc Bloch (Strasbourg)","Strasbourg",1997,2009
"Pierre Loiseau","Perpignan","Paris 6",2003,2004
"Pierre Lory","Bordeaux 3","Paris Sciences et Lettres",1990,2017
"Pierre Macherey","Paris 1","Lille 3",1991,2000
"Pierre Marie","Bordeaux 2","Paris 7",1992,2005
"Pierre Marquet","Paris","Bordeaux 2",1992,1999
"Pierre Martinez","Paris 5","Paris 8",1988,2005
"Pierre Marty","Paris 10","Nice",1996,1992
"Pierre Masson","Pau","Nantes",2014,2011
"Pierre Mathieu","Toulouse 1","Nancy 1",1997,1994
"Pierre Mathiot","Dijon","Lille 2",1988,2010
"Pierre Merle","Paris 5","Strasbourg 1",1992,1989
"Pierre Meyer","Universite Louis Pasteur (Strasbourg)","Nice",1985,1988
"Pierre Michel","Rouen","Lyon, INSA",2000,2000
"Pierre Millet","Rennes, Ecole nationale superieure de chimie","Universite Paris-Saclay (ComUE)",2017,2018
"Pierre Miquel","Lille 1","Paris 4",2009,1988
"Pierre Moeglin","Universite Stendhal (Grenoble)","Paris 13",1988,2000
"Pierre Montebello","Paris 1","Toulouse 2",1993,2009
"Pierre Morel","Lille 2","Caen",1989,1990
"Pierre Moret","Paris 4","Toulouse 2",1992,2013
"Pierre Morin","Paris 6","Lyon 1",1995,1999
"Pierre Morin","Paris 6","Caen",1995,1991
"Pierre Muller","Lille 2","Paris, Institut d'etudes politiques",1993,2000
"Pierre Neveu","Paris 11","Perpignan",2007,2011
"Pierre Nicolas","Montpellier 1","Paris 6",1997,1997
"Pierre Pardon","Lyon 1","Tours",1987,1998
"Pierre Pellat-Finet","Toulon","Lorient",1987,2003
"Pierre Petit","Metz","Montpellier 1",2011,2011
"PIERRE PETIT","Amiens","Montpellier 1",1993,1996
"Pierre Philippe","Paris 1","Clermont-Ferrand 1",1996,1994
"Pierre Pinon","Paris 4","Paris 8",1998,2003
"Pierre Plateau","Paris 11","Palaiseau, Ecole polytechnique",1985,2000
"Pierre Potier","Universite Louis Pasteur (Strasbourg)","Toulouse, INPT",1999,1993
"Pierre Poulain","Lyon 1","Lille 2",2006,2007
"Pierre Raynaud","Montpellier 1","Toulouse 3",2009,1990
"Pierre Renault","Toulouse, INPT","Lyon 1",1988,2003
"Pierre Rigaud","Toulouse 3","Orleans",1994,1992
"Pierre Riviere","Paris 11","Toulouse 3",2014,1999
"Pierre Rossi","Montpellier 1","Ecole nationale des ponts et chaussees (France)",1989,2001
"Pierre Rouillard","Paris 10","Paris 1",1986,2017
"Pierre Roux","Paris, ENMP","Toulouse 2",1989,1995
"Pierre Savatier","Lyon 1","Lyon, Ecole normale superieure (sciences)",1986,2006
"Pierre Schaeffer","Lyon 2","Paris 7",2005,1986
"Pierre Schiano","Paris 6","Clermont-Ferrand 2",1991,2005
"Pierre Sebban","Paris 11","Universite Paris-Saclay (ComUE)",1985,2017
"Pierre Senellart","Paris 11","Paris, ENST",2007,2012
"Pierre Serrand","Paris 2","Orleans",1996,2014
"Pierre Servais","Paris 9","Ecole nationale des ponts et chaussees (France)",1985,2003
"Pierre Sesmat","Paris 10","Universite de Lorraine",1995,2014
"Pierre Sicard","Lille 3","Amiens",1989,2009
"Pierre Six","Paris 1","Angers",2009,1993
"Pierre Soubeyran","Lyon 3","Bordeaux 2",1991,1996
"Pierre Szepetowski","Nice","Aix-Marseille 2",1991,2005
"Pierre Tallet","Paris 4","Sorbonne universite",1998,2018
"Pierre Thillet","Paris 10","Paris 1",2010,2001
"Pierre Thomas","Nancy 1","Lille 2",1988,1988
"Pierre Thomas","Nice","Lille 2",1990,1990
"Pierre Thomas","Lyon 1","Nantes",1998,1998
"Pierre Thomas-Castelnau","Paris 6","Tours",1998,2009
"Pierre Tifine","Metz","Universite de Lorraine",1997,2016
"Pierre Toulhoat","Paris 6","Evry-Val d'Essonne",1987,2003
"Pierre Trifilieff","Bordeaux 1","Bordeaux",2006,2018
"Pierre Val","Clermont-Ferrand 2","Clermont Auvergne",2003,2018
"Pierre Valette-Florence","Universite Pierre Mendes France (Grenoble)","Grenoble 2",1988,1998
"Pierre Vanhove","Palaiseau, Ecole polytechnique","Paris 6",1998,2014
"Pierre Vermeren","Paris 8","Paris 1",2000,2013
"Pierre Vialle","Poitiers","Lyon 3",1996,2003
"Pierre Vidal","Lille 2","Lille 1",1993,1994
"Pierre Vieyres","Tours","Orleans",1990,2003
"Pierre Villard","Paris 1","Aix-Marseille 1",1986,2006
"Pierre Villeneuve","Toulouse 1","Montpellier 2",2004,2008
"Pierre Vincent","Paris 5","Evry, Institut national des telecommunications",1999,2005
"Pierre Vitoux","Nancy 1","Montpellier 3",1988,1989
"Pierre Vitoux","Nancy 1","Montpellier 3",1988,1987
"Pierre Volle","Paris 9","Paris Sciences et Lettres",1996,2016
"Pierre Weiss","Strasbourg","Nantes",2012,2012
"Pierre-Alain Fouque","Paris 7","Rennes 1",2001,2016
"Pierre-Andre Crochet","Montpellier 2","Montpellier",1998,2017
"Pierre-Andre Jouvet","Aix-Marseille 2","Paris 10",1995,2012
"Pierre-Cyrille Hautcoeur","Paris 1","Orleans",1994,2005
"Pierre-Emmanuel Lippens","Lille 1","Montpellier 2",1985,2010
"Pierre-Emmanuel Mazeran","Ecully, Ecole centrale de Lyon","Compiegne",1998,2002
"Pierre-Emmanuel Milhiet","Paris 5","Paris 11",1992,2002
"Pierre-Emmanuel Morange","Aix-Marseille 2","Aix-Marseille",2000,2017
"Pierre-Francois Brevet","Lyon 1","Lyon",1988,2016
"Pierre-Francois Moreau","Paris 1","Paris 4",1991,1998
"Pierre-Henri Aubert","Besancon","Cergy-Pontoise",1999,2016
"Pierre-Jean Dufief","Paris 10","Brest",1987,2009
"Pierre-Louis Tharaux","Paris 6","Paris 7",2000,2013
"Pierre-Louis Toutain","Toulouse, INPT","Toulouse 3",1986,1997
"Pierre-Michel Llorca","Aix-Marseille 2","Clermont-Ferrand 1",1991,2009
"Pierre-Olivier Kotzki","Lyon, INSA","Montpellier 1",1991,1997
"Pierre-Yves Ancel","Paris 11","Paris 6",2001,2011
"Pierre-Yves Gilles","Paris 5","Aix-Marseille",1993,2015
"Pierrette Paravy","Paris 4","Universite Pierre Mendes France (Grenoble)",1988,2000
"Pierrick Gaudry","Palaiseau, Ecole polytechnique","Universite de Lorraine",2000,2013
"Pierrick Le Jeune","Lyon 3","Brest",1991,2013
"Pietro Michiardi","Paris, ENST","Paris, Telecom ParisTech",2004,2011
"Pilar Gonzalez Bernaldo de Quiros","Paris 1","Paris 7",1992,2004
"Quang Bui-Xuan","Paris 1","Paris 10",1990,1993
"Quoc Son Nguyen","Montpellier","Palaiseau, Ecole polytechnique",2019,2008
"Rachid Amirou","Paris 5","Perpignan",1992,2006
"Rachid Bouyekhf","Besancon","Belfort-Montbeliard",1998,2012
"Rachid Ragala","Paris 1","Sorbonne universite",1987,2018
"Rachid Regbaoui","Rennes 1","Brest",1993,2010
"Rachid Senoussi","Paris 11","Montpellier 2",1991,2004
"Rachid Soulimani","Montpellier 1","Metz",1985,2008
"Rachid Zegdi","Paris 11","Paris Est",2004,2017
"Rachid Zentar","Nantes","Ecole nationale superieure Mines-Telecom Lille Douai",1999,2018
"Rachida Tahar","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris 5",1999,2014
"Radu Ignat","Paris 6","Paris 11",2006,2015
"Rajaa Stitou","Montpellier 3","Aix-Marseille",1999,2017
"Ramdane Mostefaoui","Palaiseau, Ecole polytechnique","Amiens",1993,2015
"Raphael Carrasco","Montpellier 3","Besancon",1986,1987
"Raphael Danchin","Palaiseau, Ecole polytechnique","Paris 12",1997,2007
"Raphael Devillard","Toulouse 3","Bordeaux",2011,2019
"Raphael Duval","Orleans","Universite de Lorraine",2000,2017
"Raphael Giraud","Lyon 1","Paris 8",2015,2018
"Raphael Porcher","Paris 6","Paris 7",2002,2013
"Raphael Terreux","Nice","Lyon",2001,2018
"Rares Salomir","Bordeaux 1","Lyon 1",2001,2009
"Raymond Fouraste","Toulouse 2","Toulouse 3",1987,1991
"Raymond Mayer","Paris 5","Lyon 2",1987,2011
"Raymond Michels","Nancy 1","Universite de Lorraine",1994,2012
"Raymond Sala","Paris 4","Perpignan",1989,2002
"Raymond Thomas","Tours","Paris 10",1986,1993
"Raymond Woessner","Besancon","Paris 4",1996,2016
"Raymonde Sechet","Caen","Rennes 2",1986,2004
"Redouane Borsali","Universite Louis Pasteur (Strasbourg)","Bordeaux 1",1988,2002
"Redouane Taouil","Grenoble 2","Universite Pierre Mendes France (Grenoble)",1993,2009
"Regine Le Jan","Paris 1","Lille 3",1993,2002
"Regine Vanheems","Lille 1","Paris 1",1995,2016
"Regis Costello","Aix-Marseille 2","Aix-Marseille",1994,2014
"Regis Courtecuisse","Paris 11","Lille 2",1988,1997
"Regis Dumoulin","Lille 1","Angers",1996,2009
"Regis Gauvin","Universite Louis Pasteur (Strasbourg)","Lille 1",1999,2013
"Regis Gras","Aix-Marseille 2","Rennes 1",1988,1992
"Regis Hankard","Lille 2","Poitiers",1993,2014
"Regis Logier","Lille 1","Lille 2",1995,1999
"Regis Meissonier","Aix-Marseille 3","Montpellier",2000,2017
"Regis Nouvian","Montpellier 2","Montpellier",2004,2015
"Remi Abgrall","Paris 6","Bordeaux 1",1987,2002
"Remi Astruc","Paris 7","Cergy-Pontoise",1997,2016
"Remi Barbier","Paris, ENMP","Strasbourg",1996,2010
"Remi Bastide","Toulouse 3","Toulouse 1",1992,2009
"Remi Brague","Paris 4","Paris 1",1986,1991
"Remi Carminati","Chatenay-Malabry, Ecole centrale de Paris","Paris 6",1996,2014
"Remi Charrel","Aix-Marseille 2","Aix-Marseille",1992,2015
"Remi Cornat","Clermont-Ferrand 2","Universite Paris-Saclay (ComUE)",2002,2016
"Remi Dalongeville","Brest","Lyon 2",1986,2003
"Remi Dedryvere","Montpellier 2","Pau",2000,2015
"Remi Dubois","Paris 6","Bordeaux",2004,2017
"Remi Fronzes","Bordeaux 2","Paris 6",2004,2014
"Remi Gilleron","Lille 1","Lille 3",1990,2012
"Remi Lazzari","Paris 11","Paris 6",2000,2017
"Remi Le Marc'hadour","Rennes 2","Lorient",1996,2012
"Remi Manceau","Nantes","Chasseneuil-du-Poitou, Ecole nationale superieure de mecanique et d'aerotechnique",1999,2013
"Remy Cachon","dijon","Dijon",1993,2003
"Remy Michel","Compiegne","Aix-Marseille",2006,2018
"Remy Mullot","Rouen","La Rochelle",1991,2010
"Remy Targhetta","Tours","Montpellier 1",1993,1999
"Remy Versace","Universite Pierre Mendes France (Grenoble)","Lyon 2",1986,2001
"Renan Le Mestre","Nantes","Poitiers",1998,2007
"Renaud Carrier","Toulouse 1","Pau",1993,2012
"Renaud d' Enfert","Paris 1","Universite Paris-Saclay (ComUE)",2001,2018
"Renaud de Crevoisier","Paris 11","Rennes 1",2007,2010
"Renaud Escudie","Toulouse, INSA","Montpellier",2001,2015
"Renaud Gabet","Rennes 1","Paris, ENST",2000,2014
"Renaud Hetier","Lyon 2","Nantes",2004,2019
"Renaud Leonard","Limoges","Lille 1",2001,2015
"Renaud Nicolay","Paris 6","Paris Sciences et Lettres",2008,2017
"Renaud Seguier","Rennes 1","CentraleSupelec",1995,2016
"Rene Baldy","Aix-Marseille 1","Montpellier 3",1985,2007
"Rene Favier","Lyon 2","Universite Pierre Mendes France (Grenoble)",1991,2000
"Rene Gallissot","Paris 1","Paris 7",1988,1989
"Rene Galzin","Montpellier 2","Paris 6",1985,1998
"Rene Heyer","Universite Marc Bloch (Strasbourg)","Strasbourg 2",1986,2004
"Rene Hodot","Paris 10","Nancy 2",1985,2005
"Rene Meyer","Universite Louis Pasteur (Strasbourg)","Paris 11",1985,2006
"Rene Pry","Paris 5","Montpellier 3",1988,2003
"Rene Robert","Poitiers","Brest",2013,2015
"Rene Siret","Montpellier 1","Angers",2001,2016
"Rene Valero","Aix-Marseille 2","Aix-Marseille",2005,2014
"Rene-Marc Flipo","Lille 2","Lille 1",1988,1996
"Rene-Paul Desse","Universite Paris-Est Creteil Val de Marne (UPEC)","Brest",1996,2012
"Renee Fregosi","Paris 1","Paris 3",1996,2007
"Renee Pontikis","Paris 11","Paris 5",1986,2009
"Renee-Paule Debaisieux","Paris, INALCO","Bordeaux 3",1989,2003
"Reynald Lahanque","Nancy 2","Universite de Lorraine",2002,2012
